ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,IWW,IWL,SBW,SBL,B&WW,B&WL
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Moya C.,Volandri F.,4,79,7,6,4,6,6,2,6,3,,,3,1,Completed,1.125,5.5,1.15,5,1.1,4.5,1.1,6,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Blanco G.,Corretja A.,139,17,5,7,6,3,6,0,7,5,,,3,1,Completed,3.25,1.333,3.35,1.3,2.7,1.3,3,1.333,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Ferreira W.,Behrend T.,24,102,6,4,6,2,6,3,,,,,3,0,Completed,1.333,3.25,1.3,3.35,1.2,3.3,1.286,3.25,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Ferrer D.,Melzer J.,65,92,6,2,6,2,7,6,,,,,3,0,Completed,1.533,2.375,1.57,2.3,1.5,2.1,1.5,2.5,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Lopez M.,Mahut N.,213,190,7,5,6,1,7,6,,,,,3,0,Completed,1.5,2.5,1.48,2.55,1.4,2.3,1.5,2.5,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Blake J.,Dent T.,27,40,6,4,6,3,7,6,,,,,3,0,Completed,1.222,4,1.22,4.05,1.2,3.3,1.2,4,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Chela J.I.,Saulnier C.,35,124,3,6,7,6,6,3,7,5,,,3,1,Completed,1.1,6.5,1.08,7,1.1,4.5,1.071,7,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Saretta F.,Martin A.,78,60,7,6,6,0,6,0,,,,,3,0,Completed,1.667,2.1,1.6,2.25,1.65,1.85,1.667,2.1,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Ljubicic I.,Kucera K.,43,49,6,2,6,3,6,2,,,,,3,0,Completed,1.333,3.25,1.23,3.9,1.2,3.3,1.25,3.5,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Philippoussis M.,Kim A.,52,172,2,6,6,7,7,5,6,2,6,2,3,2,Completed,1.167,4.5,1.18,4.45,1.15,3.8,1.143,5,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Kafelnikov Y.,Boutter J.,18,95,6,1,6,2,6,4,,,,,3,0,Completed,1.4,2.75,1.38,2.9,1.35,2.5,1.4,2.75,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Agassi A.,Beck K.,2,73,6,2,6,3,6,3,,,,,3,0,Completed,1.03,10,1.04,9.5,1.02,6,1.03,10,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Novak J.,Benneteau J.,14,182,6,2,6,3,6,2,,,,,3,0,Completed,1.071,7.5,1.08,7,1.05,5,1.071,7,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Kiefer N.,Larkham T.,77,202,6,3,6,3,4,6,2,6,6,3,3,2,Completed,1.667,2.1,1.65,2.15,1.6,1.9,1.667,2.1,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Galimberti G.,Heuberger I.,117,137,7,6,4,6,6,2,6,2,,,3,1,Completed,1.333,3.25,1.33,3.15,1.25,3,1.25,3.5,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Youzhny M.,Sanchez D.,30,48,6,3,6,0,6,0,,,,,3,0,Completed,,,,,1.6,1.9,1.727,2,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Savolt A.,Vinciguerra A.,141,114,7,5,7,6,4,6,6,0,,,3,1,Completed,1.533,2.375,1.42,2.7,1.5,2.1,1.444,2.444,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Ancic M.,Rios M.,74,42,6,1,,,,,,,,,1,0,Retired,3.75,1.25,4.05,1.22,3.3,1.2,4.5,1.167,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Coria G.,Sa A.,7,87,6,3,6,1,6,1,,,,,3,0,Completed,1.03,10,1.02,11,1.02,6,1.04,9,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Costa A.,Roitman S.,9,134,6,7,2,6,7,5,6,2,6,2,3,2,Completed,1.071,7.5,1.05,8.5,1.05,5,1.071,7,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Henman T.,Voltchkov V.,28,66,6,2,6,3,6,1,,,,,3,0,Completed,1.2,4.333,1.22,4.05,1.2,3.3,1.182,4.333,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Hewitt L.,Vahaly B.,1,76,6,4,6,1,6,7,6,3,,,3,1,Completed,1.04,9,1.05,8.5,1.02,6,1.04,9,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Coutelot N.,Sanguinetti D.,208,86,6,3,6,3,6,4,,,,,3,0,Completed,1.615,2.2,1.52,2.45,1.5,2.1,1.615,2.2,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Nalbandian D.,Montanes A.,8,104,6,4,6,3,3,6,7,5,,,3,1,Completed,1.143,5,1.15,5,1.15,3.8,1.125,5.5,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Massu N.,Norman M.,84,82,6,4,6,1,6,3,,,,,3,0,Completed,,,1.48,2.55,1.3,2.7,1.5,2.5,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Stepanek R.,Arthurs W.,47,57,6,1,4,6,6,1,7,6,,,3,1,Completed,1.364,3,1.31,3.25,1.35,2.5,1.333,3,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Robredo T.,Lapentti G.,31,203,3,6,7,6,3,6,3,1,,,1,2,Retired,1.143,5,1.14,5.25,1.2,3.3,1.167,4.5,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Martin T.,Acasuso J.,94,50,4,6,6,3,6,4,6,2,,,3,1,Completed,2.2,1.615,2.15,1.65,1.85,1.65,2.25,1.571,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Bjorkman J.,Mirnyi M.,69,41,6,1,6,2,6,4,,,,,3,0,Completed,2.625,1.444,2.6,1.46,2.7,1.3,2.625,1.444,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Burgsmuller L.,Fish M.,93,51,7,6,6,2,4,6,6,1,,,3,1,Completed,2.2,1.615,2.15,1.65,2.1,1.5,2.1,1.667,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Ferrero J.C.,Kratochvil M.,3,85,7,5,7,5,6,4,,,,,3,0,Completed,,,1.01,12.5,1.02,6,1.03,10,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Gaudio G.,Mathieu P.H.,22,44,7,5,6,3,6,3,,,,,3,0,Completed,1.143,5,1.14,5.25,1.15,3.8,1.167,4.5,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Clement A.,Enqvist T.,36,100,6,3,6,4,6,2,,,,,3,0,Completed,1.4,2.75,1.4,2.8,1.35,2.5,1.4,2.75,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Mutis O.,Golmard J.,83,136,6,2,6,7,6,2,6,3,,,3,1,Completed,,,1.38,2.9,1.35,2.5,,,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Portas A.,Ascione T.,81,177,3,6,6,2,6,4,6,4,,,3,1,Completed,1.222,4,1.16,4.75,1.15,3.8,1.167,4.5,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Davydenko N.,Rusedski G.,33,70,6,3,7,5,6,2,,,,,3,0,Completed,1.083,7,1.06,8,1.05,5,1.071,7,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Arazi H.,Sluiter R.,91,64,6,1,7,6,2,6,6,0,,,3,1,Completed,,,1.48,2.55,1.3,2.7,1.444,2.625,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Gonzalez F.,Gambill J.M.,20,38,6,0,6,2,6,3,,,,,3,0,Completed,1.083,7,1.08,7,1.1,4.5,1.071,7.5,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Nieminen J.,Escude N.,34,61,7,6,6,7,6,3,6,1,,,3,1,Completed,,,1.26,3.6,1.25,3,1.25,3.5,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Schalken S.,Draper S.,13,109,6,2,6,4,3,6,6,4,,,3,1,Completed,1.222,4,1.22,4.05,1.15,3.8,1.222,3.75,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Kuerten G.,Rosset M.,16,108,6,2,6,7,6,3,7,6,,,3,1,Completed,1.063,8,1.06,8,1.02,6,1.05,8,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Grosjean S.,Voinea A.,15,99,6,4,7,6,3,6,6,3,,,3,1,Completed,,,1.16,4.75,1.1,4.5,1.167,4.5,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Lapentti N.,Gasquet R.,58,130,6,3,7,6,3,0,,,,,2,0,Retired,1.727,2,1.75,2,1.75,1.75,1.833,1.833,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Sargsian S.,Roddick A.,67,6,6,7,6,1,6,2,6,4,,,3,1,Completed,5.5,1.125,5.65,1.12,4.5,1.1,6,1.1,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Santoro F.,Chang M.,54,142,7,5,6,1,6,1,,,,,3,0,Completed,1.364,3,1.4,2.8,1.3,2.7,1.4,2.75,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Browne F.,Rochus O.,147,59,4,6,2,6,6,1,6,1,6,3,3,2,Completed,2.5,1.5,2.35,1.55,2.3,1.4,2.375,1.533,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Mantilla F.,Lee H.T.,21,55,7,6,6,4,7,6,,,,,3,0,Completed,1.125,5.5,1.12,5.65,1.1,4.5,1.143,5,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Varlet J.,Carlsen K.,163,68,6,1,4,6,6,3,7,6,,,3,1,Completed,1.4,2.75,1.33,3.2,1.3,2.7,1.333,3,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Squillari F.,Calleri A.,89,19,7,5,7,6,6,3,,,,,3,0,Completed,4,1.222,4,1.22,3.3,1.2,4.5,1.167,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Vicente F.,Waske A.,63,116,3,6,6,2,7,5,1,6,6,3,3,2,Completed,1.25,3.75,1.28,3.5,1.3,2.7,1.286,3.25,,
31,Paris,French Open,27/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Hanescu V.,Llodra M.,122,132,6,4,6,3,6,2,,,,,3,0,Completed,1.4,2.75,1.33,3.2,1.25,3,1.364,2.875,,
31,Paris,French Open,28/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Saretta F.,Kafelnikov Y.,78,18,6,4,3,6,6,0,6,7,6,4,3,2,Completed,2.75,1.4,2.6,1.46,2.3,1.4,2.625,1.444,,
31,Paris,French Open,28/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Savolt A.,Youzhny M.,141,30,3,6,6,4,5,7,6,2,6,4,3,2,Completed,3,1.364,3.25,1.31,3,1.25,3,1.333,,
31,Paris,French Open,28/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Zabaleta M.,Hrbaty D.,39,62,6,2,6,4,6,2,,,,,3,0,Completed,1.727,2,1.65,2.2,1.55,2,1.667,2.1,,
31,Paris,French Open,28/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Blanco G.,Puerta M.,139,97,6,2,6,2,6,4,,,,,3,0,Completed,1.833,1.833,1.95,1.85,1.65,1.85,1.833,1.833,,
31,Paris,French Open,28/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,El Aynaoui Y.,Rochus C.,26,101,6,4,6,4,6,3,,,,,3,0,Completed,1.286,3.5,1.28,3.5,1.25,3,1.25,3.5,,
31,Paris,French Open,28/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Schuettler R.,Lisnard J.R.,11,98,4,6,6,2,6,4,6,0,,,3,1,Completed,1.333,3.25,1.31,3.25,1.3,2.7,1.333,3,,
31,Paris,French Open,28/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Ferreira W.,Ferrer D.,24,65,4,6,6,4,6,1,6,3,,,3,1,Completed,1.444,2.625,1.5,2.5,1.35,2.5,1.444,2.625,,
31,Paris,French Open,28/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Verkerk M.,Horna L.,46,88,4,6,6,4,4,6,7,5,6,2,3,2,Completed,1.615,2.2,1.48,2.55,1.55,2,1.571,2.25,,
31,Paris,French Open,28/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Malisse X.,Koubek S.,29,72,3,6,4,6,6,4,7,5,8,6,3,2,Completed,1.533,2.375,1.63,2.2,1.45,2.2,1.533,2.375,,
31,Paris,French Open,28/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Coria G.,Kiefer N.,7,77,6,3,5,7,6,3,6,1,,,3,1,Completed,1.063,8,1.03,10,1.02,6,1.05,8,,
31,Paris,French Open,28/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Chela J.I.,Galimberti G.,35,117,6,2,5,7,6,2,6,1,,,3,1,Completed,,,,,,,,,,
31,Paris,French Open,28/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Novak J.,Lopez M.,14,213,6,4,3,6,0,6,6,1,6,3,3,2,Completed,1.125,5.5,1.15,5,1.1,4.5,1.143,5,,
31,Paris,French Open,28/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Moya C.,Philippoussis M.,4,52,6,2,6,4,7,6,,,,,3,0,Completed,1.222,4,1.18,4.5,1.15,3.8,1.167,4.5,,
31,Paris,French Open,28/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Agassi A.,Ancic M.,2,74,5,7,1,6,6,4,6,2,7,5,3,2,Completed,1.063,8,1.03,10,1.02,6,1.02,11,,
31,Paris,French Open,28/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Spadea V.,van Lottum J.,32,96,7,5,6,1,2,6,6,1,,,3,1,Completed,1.25,3.75,1.2,4.25,1.2,3.3,1.25,3.5,,
31,Paris,French Open,29/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Clement A.,Burgsmuller L.,36,93,6,3,6,3,6,3,,,,,3,0,Completed,1.286,3.5,1.28,3.5,1.2,3.3,1.286,3.25,,
31,Paris,French Open,29/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Ferrero J.C.,Massu N.,3,84,6,2,3,0,,,,,,,1,0,Retired,1.1,6.5,1.08,7,1.1,4.5,1.071,7,,
31,Paris,French Open,29/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Gonzalez F.,Portas A.,20,81,6,3,4,6,6,4,6,2,,,3,1,Completed,1.222,4,1.18,4.5,1.2,3.3,1.167,4.5,,
31,Paris,French Open,29/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Nieminen J.,Varlet J.,34,163,1,6,1,6,7,6,6,2,6,4,3,2,Completed,1.2,4.333,1.22,4.05,1.25,3,1.2,4,,
31,Paris,French Open,29/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Hanescu V.,Sargsian S.,122,67,6,3,7,5,3,6,6,2,,,3,1,Completed,2.375,1.533,2.2,1.63,2.2,1.45,2.2,1.615,,
31,Paris,French Open,29/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Coutelot N.,Nalbandian D.,208,8,6,3,6,3,4,6,2,6,6,1,3,2,Completed,4,1.222,3.6,1.26,3,1.25,3.5,1.25,,
31,Paris,French Open,29/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Hewitt L.,Davydenko N.,1,33,6,3,4,6,6,3,7,6,,,3,1,Completed,1.25,3.75,1.28,3.5,1.2,3.3,1.222,3.75,,
31,Paris,French Open,29/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Ljubicic I.,Blake J.,43,27,6,3,4,6,7,6,6,4,,,3,1,Completed,1.667,2.1,1.58,2.3,1.6,1.9,1.615,2.2,,
31,Paris,French Open,29/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Schalken S.,Santoro F.,13,54,6,1,6,3,6,4,,,,,3,0,Completed,1.4,2.75,1.42,2.75,1.35,2.5,1.4,2.75,,
31,Paris,French Open,29/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Kuerten G.,Arazi H.,16,91,6,1,6,0,6,1,,,,,3,0,Completed,1.143,5,1.22,4.05,1.2,3.3,1.167,4.5,,
31,Paris,French Open,29/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Costa A.,Stepanek R.,9,47,6,3,5,7,6,4,3,6,6,4,3,2,Completed,1.4,2.75,1.47,2.6,1.3,2.7,1.333,3,,
31,Paris,French Open,29/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Mantilla F.,Browne F.,21,147,6,3,4,6,6,3,6,1,,,3,1,Completed,1.111,6,1.12,5.65,1.1,4.5,1.125,5.5,,
31,Paris,French Open,29/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Robredo T.,Bjorkman J.,31,69,7,6,6,3,6,4,,,,,3,0,Completed,1.167,4.5,1.18,4.5,1.15,3.8,1.167,4.5,,
31,Paris,French Open,29/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Gaudio G.,Mutis O.,22,83,6,2,1,6,6,2,6,2,,,3,1,Completed,1.1,6.5,1.07,7.35,1.05,5,1.1,6,,
31,Paris,French Open,29/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Henman T.,Martin T.,28,94,7,6,5,7,6,1,7,5,,,3,1,Completed,1.615,2.2,1.6,2.3,1.55,2,,,,
31,Paris,French Open,29/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Lapentti N.,Squillari F.,58,89,4,6,6,1,6,4,6,3,,,3,1,Completed,2.2,1.615,2.45,1.52,2.1,1.5,2.2,1.615,,
31,Paris,French Open,29/05/03,Grand Slam,Outdoor,Clay,2nd Round,5,Vicente F.,Grosjean S.,63,15,7,6,6,3,6,3,,,,,3,0,Completed,2.75,1.4,2.9,1.38,2.3,1.4,2.75,1.4,,
31,Paris,French Open,30/05/03,Grand Slam,Outdoor,Clay,3rd Round,5,Schuettler R.,Ferreira W.,11,24,6,3,1,6,7,6,2,3,,,2,1,Retired,1.727,2,1.75,2.05,1.75,1.75,,,,
31,Paris,French Open,30/05/03,Grand Slam,Outdoor,Clay,3rd Round,5,Zabaleta M.,El Aynaoui Y.,39,26,6,2,6,4,3,6,7,6,,,3,1,Completed,2.625,1.444,2.5,1.52,2.5,1.35,,,,
31,Paris,French Open,30/05/03,Grand Slam,Outdoor,Clay,3rd Round,5,Coria G.,Savolt A.,7,141,6,4,6,1,6,1,,,,,3,0,Completed,1.083,7,1.07,8,1.05,5,,,,
31,Paris,French Open,30/05/03,Grand Slam,Outdoor,Clay,3rd Round,5,Verkerk M.,Spadea V.,46,32,5,7,6,4,6,2,7,5,,,3,1,Completed,1.571,2.25,1.57,2.35,1.5,2.1,,,,
31,Paris,French Open,30/05/03,Grand Slam,Outdoor,Clay,3rd Round,5,Agassi A.,Malisse X.,2,29,6,4,7,5,7,5,,,,,3,0,Completed,1.111,6,1.14,5.5,1.1,4.5,1.1,6,,
31,Paris,French Open,30/05/03,Grand Slam,Outdoor,Clay,3rd Round,5,Novak J.,Ljubicic I.,14,43,6,4,7,5,3,6,6,2,,,3,1,Completed,1.667,2.1,1.82,1.95,1.7,1.8,1.727,2,,
31,Paris,French Open,30/05/03,Grand Slam,Outdoor,Clay,3rd Round,5,Saretta F.,Blanco G.,78,139,7,6,6,3,2,2,,,,,2,0,Retired,1.533,2.375,1.55,2.4,1.45,2.2,,,,
31,Paris,French Open,30/05/03,Grand Slam,Outdoor,Clay,3rd Round,5,Moya C.,Chela J.I.,4,35,6,2,6,3,3,6,2,6,6,3,3,2,Completed,1.2,4.333,1.2,4.2,1.2,3.3,1.167,4.5,,
31,Paris,French Open,31/05/03,Grand Slam,Outdoor,Clay,3rd Round,5,Gonzalez F.,Schalken S.,20,13,7,6,6,3,3,1,,,,,2,0,Retired,1.571,2.25,1.52,2.5,1.5,2.1,1.444,2.625,,
31,Paris,French Open,31/05/03,Grand Slam,Outdoor,Clay,3rd Round,5,Costa A.,Lapentti N.,9,58,4,6,4,6,6,3,6,4,6,4,3,2,Completed,1.4,2.75,1.5,2.55,1.45,2.2,1.444,2.625,,
31,Paris,French Open,31/05/03,Grand Slam,Outdoor,Clay,3rd Round,5,Clement A.,Coutelot N.,36,208,6,4,6,3,6,2,,,,,3,0,Completed,1.4,2.75,1.42,2.8,1.3,2.7,1.444,2.625,,
31,Paris,French Open,31/05/03,Grand Slam,Outdoor,Clay,3rd Round,5,Nieminen J.,Hanescu V.,34,122,6,7,6,4,6,2,3,6,6,3,3,2,Completed,1.4,2.75,1.5,2.55,1.45,2.2,1.444,2.625,,
31,Paris,French Open,31/05/03,Grand Slam,Outdoor,Clay,3rd Round,5,Robredo T.,Hewitt L.,31,1,4,6,1,6,6,3,6,2,6,3,3,2,Completed,3.25,1.333,3.25,1.33,3,1.25,3,1.333,,
31,Paris,French Open,31/05/03,Grand Slam,Outdoor,Clay,3rd Round,5,Ferrero J.C.,Henman T.,3,28,4,6,6,2,6,4,6,2,,,3,1,Completed,1.1,6.5,1.06,8.5,1.1,4.5,1.071,7,,
31,Paris,French Open,31/05/03,Grand Slam,Outdoor,Clay,3rd Round,5,Mantilla F.,Vicente F.,21,63,7,6,6,3,6,3,,,,,3,0,Completed,1.286,3.5,1.28,3.55,1.3,2.7,1.25,3.5,,
31,Paris,French Open,01/06/03,Grand Slam,Outdoor,Clay,3rd Round,5,Kuerten G.,Gaudio G.,16,22,7,6,7,5,5,7,6,3,,,3,1,Completed,1.727,2,1.85,1.95,1.65,1.85,1.727,2,,
31,Paris,French Open,01/06/03,Grand Slam,Outdoor,Clay,4th Round,5,Verkerk M.,Schuettler R.,46,11,6,3,6,3,7,5,,,,,3,0,Completed,2.375,1.533,2.2,1.65,1.9,1.6,2.25,1.571,,
31,Paris,French Open,01/06/03,Grand Slam,Outdoor,Clay,4th Round,5,Moya C.,Novak J.,4,14,7,5,6,3,6,2,,,,,3,0,Completed,1.4,2.75,1.46,2.6,1.45,2.2,1.364,2.875,,
31,Paris,French Open,01/06/03,Grand Slam,Outdoor,Clay,4th Round,5,Agassi A.,Saretta F.,2,78,6,2,6,1,7,5,,,,,3,0,Completed,1.125,5.5,1.16,5,1.15,3.8,1.1,6,,
31,Paris,French Open,02/06/03,Grand Slam,Outdoor,Clay,4th Round,5,Ferrero J.C.,Mantilla F.,3,21,6,2,6,1,6,1,,,,,3,0,Completed,1.222,4,1.23,4.05,1.2,3.3,1.182,4.333,,
31,Paris,French Open,02/06/03,Grand Slam,Outdoor,Clay,4th Round,5,Gonzalez F.,Nieminen J.,20,34,6,3,6,3,6,2,,,,,3,0,Completed,1.25,3.75,1.33,3.25,1.2,3.3,1.333,3,,
31,Paris,French Open,02/06/03,Grand Slam,Outdoor,Clay,4th Round,5,Costa A.,Clement A.,9,36,6,2,7,5,7,5,,,,,3,0,Completed,1.667,2.1,1.78,2,1.6,1.9,,,,
