ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,B&WW,B&WL,IWW,IWL,SBW,SBL
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Knowle J.,Henry R.,131,578,5,7,6,4,6,2,7,5,,,3,1,Completed,1.8,1.909,1.75,1.75,1.7,1.8,,
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Krajicek R.,Reid T.,92,295,3,6,6,2,6,2,6,1,,,3,1,Completed,1.167,4.5,1.8,1.7,1.15,3.8,1.2,4
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Kratochvil M.,Sanguinetti D.,78,48,6,3,6,0,6,3,,,,,3,0,Completed,1.727,2,1.75,1.75,1.8,1.7,,
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Kucera K.,Vacek J.,80,111,6,2,6,1,6,4,,,,,3,0,Completed,1.4,2.75,1.3,2.85,1.3,2.7,,
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Kuerten G.,Arazi H.,29,102,6,4,7,6,6,3,,,,,3,0,Completed,1.222,4,1.16,3.85,1.25,3,1.2,4
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Kutsenko V.,Ljubicic I.,185,50,6,3,6,4,1,6,4,6,6,3,3,2,Completed,4,1.222,4.05,1.14,3.3,1.2,,
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Lapentti N.,Benneteau J.,30,253,6,0,6,4,6,0,,,,,3,0,Completed,1.286,3.5,1.21,3.35,1.3,2.7,,
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Larkham T.,Mamiit C.,235,107,6,7,6,3,7,6,6,4,,,3,1,Completed,2.375,1.533,2.28,1.43,1.9,1.6,,
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Lee H.T.,Ferrer D.,67,54,5,7,6,2,6,2,6,3,,,3,1,Completed,1.615,2.2,1.61,1.94,1.55,2,,
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Lisnard J.R..,Gaudenzi A.,89,121,6,4,2,6,6,1,4,6,6,1,3,2,Completed,1.5,2.5,1.43,2.28,1.55,2,,
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Lopez F.,Corretja A.,62,19,6,7,7,6,7,6,6,3,,,3,1,Completed,2.75,1.4,2.65,1.34,2.5,1.35,3,1.333
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Luczak P.,Savolt A.,178,97,7,5,6,2,6,4,,,,,3,0,Completed,1.727,2,1.58,1.97,1.55,2,,
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Malisse X.,Hrbaty D.,23,44,6,2,6,3,6,2,,,,,3,0,Completed,1.615,2.2,1.75,1.75,1.7,1.8,1.909,1.8
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Mantilla F.,Zabaleta M.,73,46,4,6,7,5,6,3,4,6,6,4,3,2,Completed,1.833,1.833,1.78,1.72,1.85,1.65,,
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Martin A.,Bogomolov Jr. A.,66,169,6,2,6,4,6,7,4,6,6,1,3,2,Completed,1.4,2.75,1.33,2.7,1.35,2.5,,
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Montanes A.,Puerta M.,81,117,6,2,6,4,6,4,,,,,3,0,Completed,1.533,2.375,1.48,2.17,1.55,2,1.533,2.375
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Moya C.,Norman D.,5,98,7,5,6,3,6,4,,,,,3,0,Completed,1.083,7,1.06,5.5,1.1,4.5,,
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Nalbandian D.,Golmard J.,12,141,3,6,6,3,6,1,,,,,2,1,Retired,,,1.4,2.5,1.35,2.5,,
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Nieminen J.,Davydenko N.,41,61,6,3,3,6,3,6,6,2,7,5,3,2,Completed,1.833,1.833,1.8,1.7,1.75,1.75,,
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Novak J.,Spadea V.,7,68,6,2,2,6,6,2,7,6,,,3,1,Completed,1.167,4.5,1.13,4.25,1.2,3.3,1.167,4.5
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Philippoussis M.,Verkerk M.,104,85,6,4,6,4,6,7,6,3,,,3,1,Completed,1.286,3.5,1.23,3.17,1.3,2.7,,
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Rochus C.,Labadze I.,135,95,6,2,6,3,6,4,,,,,3,0,Completed,1.727,2,1.66,1.88,1.5,2.1,,
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Rochus O.,Di Pasquale A.,64,100,4,6,4,6,6,3,6,3,6,4,3,2,Completed,1.727,2,1.62,1.93,1.75,1.75,1.833,1.833
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Roddick A.,Krajan Z.,10,105,6,7,6,2,7,6,6,3,,,3,1,Completed,,,1.04,7,1.05,5,1.063,7
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Safin M.,Sluiter R.,3,72,6,4,4,6,6,3,6,4,,,3,1,Completed,,,1.17,3.7,1.2,3.3,,
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Sanchez D.,Pless K.,60,82,5,7,6,3,1,6,6,4,10,8,3,2,Completed,2.25,1.571,2.05,1.55,2,1.55,,
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Santoro F.,Phau B.,34,157,6,4,6,3,6,4,,,,,3,0,Completed,1.333,3.25,1.2,3.45,1.25,3,,
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Sargsian S.,Calleri A.,94,51,6,4,3,6,7,6,6,0,,,3,1,Completed,2.25,1.571,1.9,1.65,1.8,1.7,,
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Schalken S.,Brasington J.,20,138,6,4,6,2,7,6,,,,,3,0,Completed,,,1.14,4.05,1.2,3.3,,
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Schuettler R.,Portas A.,36,86,6,3,6,2,6,0,,,,,3,0,Completed,1.125,5.5,1.09,4.7,1.15,3.8,1.125,5.5
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Sirianni J.,Mirnyi M.,252,49,6,3,6,4,6,4,,,,,3,0,Completed,9,1.04,5.4,1.07,5,1.05,8,1.05
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Srichaphan P.,Melzer J.,14,90,7,5,6,4,1,6,6,0,,,3,1,Completed,1.083,7,1.04,6.5,1.05,5,,
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Stepanek R.,Carlsen K.,69,63,6,0,7,5,6,1,,,,,3,0,Completed,1.909,1.8,1.75,1.75,1.9,1.6,,
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Vicente F.,Horna L.,58,87,3,6,4,6,6,3,7,6,6,1,3,2,Completed,1.4,2.75,1.4,2.4,1.35,2.5,1.4,2.75
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Vinciguerra A.,Koubek S.,145,35,6,4,6,4,6,1,,,,,3,0,Completed,2.5,1.5,2.25,1.45,2.3,1.4,,
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Voinea A.,Sa A.,59,65,6,2,7,6,6,4,,,,,3,0,Completed,,,2.05,1.54,1.75,1.75,1.727,2
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Youzhny M.,Gasquet R.,31,156,3,6,6,0,6,1,6,4,,,3,1,Completed,1.4,2.75,1.38,2.42,1.4,2.3,1.4,2.75
6,Melbourne,Australian Open,15/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Agassi A.,Lee H.T.,2,67,6,1,6,0,6,0,,,,,3,0,Completed,1.125,5.5,1.09,4.7,1.15,3.8,1.111,5.5
6,Melbourne,Australian Open,15/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Ancic M.,Schalken S.,88,20,6,3,1,6,6,7,6,4,6,4,3,2,Completed,2.75,1.4,3,1.27,2.5,1.35,2.875,1.364
6,Melbourne,Australian Open,16/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Blake J.,Acasuso J.,28,42,6,1,6,4,6,4,,,,,3,0,Completed,1.111,6,1.05,6.1,1.1,4.5,1.1,6
6,Melbourne,Australian Open,15/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Coria G.,Canas G.,45,18,6,2,4,6,6,4,6,4,,,3,1,Completed,2.25,1.571,2.2,1.46,1.85,1.65,2.25,1.571
6,Melbourne,Australian Open,15/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Costa A.,Draper S.,8,139,6,4,6,7,6,2,6,3,,,3,1,Completed,1.4,2.75,1.43,2.28,1.45,2.2,1.4,2.75
6,Melbourne,Australian Open,16/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,El Aynaoui Y.,Kutsenko V.,22,185,6,2,6,1,6,4,,,,,3,0,Completed,1.25,3.75,1.14,4.05,1.15,3.8,1.2,4
6,Melbourne,Australian Open,15/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Escude N.,Rochus C.,37,135,1,6,6,2,6,2,6,4,,,3,1,Completed,1.25,3.75,1.18,3.5,1.25,3,1.222,3.75
6,Melbourne,Australian Open,16/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Federer R.,Burgsmuller L.,6,76,6,3,6,0,6,3,,,,,3,0,Completed,1.1,6.5,1.03,7,1.1,4.5,1.1,6
6,Melbourne,Australian Open,15/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Ferreira W.,Kratochvil M.,39,78,6,2,6,2,7,5,,,,,3,0,Completed,1.444,2.625,1.38,2.42,1.4,2.3,1.444,2.625
6,Melbourne,Australian Open,15/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Ferrero J.C.,Lisnard J.R..,4,89,6,0,6,4,6,2,,,,,3,0,Completed,1.111,6,1.05,6.1,1.1,4.5,1.111,5.5
6,Melbourne,Australian Open,15/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Fish M.,Moya C.,77,5,3,6,7,6,6,4,4,6,6,2,3,2,Completed,3,1.364,3.35,1.21,2.5,1.35,3,1.333
6,Melbourne,Australian Open,15/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Grosjean S.,Kucera K.,16,80,7,6,2,6,6,3,7,6,,,3,1,Completed,1.286,3.5,1.18,3.5,1.3,2.7,1.222,3.75
6,Melbourne,Australian Open,16/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Hewitt L.,Larkham T.,1,235,6,1,6,0,6,1,,,,,3,0,Completed,1.02,11,1.01,9,1.03,5.5,1.04,9
6,Melbourne,Australian Open,15/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Lapentti N.,Sanchez D.,30,60,6,1,6,0,2,6,6,2,,,3,1,Completed,1.364,3,1.23,3.17,1.3,2.7,,
6,Melbourne,Australian Open,16/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Lopez F.,Ginepri R.,62,101,6,2,6,4,6,2,,,,,3,0,Completed,1.667,2.1,1.52,2.1,1.75,1.75,,
6,Melbourne,Australian Open,15/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Luczak P.,Furlan R.,178,184,7,6,4,6,6,0,6,2,,,3,1,Completed,1.533,2.375,1.38,2.42,1.5,2.1,1.533,2.375
6,Melbourne,Australian Open,16/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Malisse X.,Dupuis A.,23,70,6,3,5,7,7,6,7,5,,,3,1,Completed,1.3,3.4,1.23,3.17,1.25,3,1.286,3.25
6,Melbourne,Australian Open,15/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Mantilla F.,Gambill J.M.,73,33,5,7,6,4,4,6,6,3,6,2,3,2,Completed,2.5,1.5,2.42,1.38,2.3,1.4,,
6,Melbourne,Australian Open,16/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Martin A.,Gonzalez F.,66,17,6,7,6,3,6,1,7,6,,,3,1,Completed,3.25,1.333,2.86,1.29,2.3,1.4,3,1.333
6,Melbourne,Australian Open,16/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Nalbandian D.,Crabb J.,12,206,6,1,7,6,6,3,,,,,3,0,Completed,1.286,3.5,1.23,3.17,1.3,2.7,,
6,Melbourne,Australian Open,15/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Nieminen J.,Kafelnikov Y.,41,27,6,3,6,3,3,6,4,6,6,1,3,2,Completed,2.2,1.615,2.25,1.45,1.85,1.65,2,1.727
6,Melbourne,Australian Open,16/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Novak J.,Rochus O.,7,64,7,6,7,6,4,6,4,6,6,3,3,2,Completed,1.167,4.5,1.09,4.7,1.15,3.8,1.143,5
6,Melbourne,Australian Open,15/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Philippoussis M.,Srichaphan P.,104,14,3,6,6,1,1,6,7,5,6,3,3,2,Completed,2.5,1.5,2.75,1.32,2.2,1.45,2.5,1.5
6,Melbourne,Australian Open,16/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Roddick A.,Voinea A.,10,59,6,2,6,2,6,2,,,,,3,0,Completed,1.167,4.5,1.11,4.7,1.15,3.8,,
6,Melbourne,Australian Open,16/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Safin M.,Montanes A.,3,81,6,3,4,6,6,4,6,1,,,3,1,Completed,1.083,7,1.02,7.5,1.05,5,1.063,8
6,Melbourne,Australian Open,15/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Santoro F.,Arthurs W.,34,52,6,3,6,1,,,,,,,2,0,Retired,1.533,2.375,1.34,2.65,1.4,2.3,1.5,2.5
6,Melbourne,Australian Open,15/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Sargsian S.,Gaudio G.,94,21,2,6,7,5,6,2,6,2,,,3,1,Completed,2.625,1.444,2.7,1.33,2.2,1.45,2.625,1.444
6,Melbourne,Australian Open,16/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Schuettler R.,Krajicek R.,36,92,6,3,7,5,6,4,,,,,3,0,Completed,1.727,2,1.67,1.85,1.7,1.8,1.667,2.1
6,Melbourne,Australian Open,16/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Stepanek R.,Kuerten G.,69,29,5,7,6,3,7,5,4,6,6,3,3,2,Completed,4,1.222,4.05,1.14,3.3,1.2,,
6,Melbourne,Australian Open,16/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Vicente F.,Chela J.I.,58,26,6,3,6,3,2,6,6,3,,,3,1,Completed,2.75,1.4,2.8,1.31,2.5,1.35,2.875,1.364
6,Melbourne,Australian Open,16/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Vinciguerra A.,Knowle J.,145,131,6,2,0,1,,,,,,,1,0,Retired,1.286,3.5,1.25,3.1,1.25,3,,
6,Melbourne,Australian Open,16/01/03,Grand Slam,Outdoor,Hard,2nd Round,5,Youzhny M.,Sirianni J.,31,252,6,2,6,3,6,3,,,,,3,0,Completed,1.083,7,1.07,5.4,1.1,4.5,1.1,6
6,Melbourne,Australian Open,17/01/03,Grand Slam,Outdoor,Hard,3rd Round,5,Agassi A.,Escude N.,2,37,6,2,3,6,6,3,6,4,,,3,1,Completed,1.167,4.5,1.07,5.4,1.1,4.5,,
6,Melbourne,Australian Open,17/01/03,Grand Slam,Outdoor,Hard,3rd Round,5,Ancic M.,Luczak P.,88,178,2,6,7,6,6,4,6,2,,,3,1,Completed,1.5,2.5,1.43,2.28,1.4,2.3,,
6,Melbourne,Australian Open,18/01/03,Grand Slam,Outdoor,Hard,3rd Round,5,Blake J.,Martin A.,28,66,6,3,4,6,6,2,6,2,,,3,1,Completed,,,,,,,,
6,Melbourne,Australian Open,17/01/03,Grand Slam,Outdoor,Hard,3rd Round,5,Coria G.,Nieminen J.,45,41,7,5,6,2,6,2,,,,,3,0,Completed,1.667,2.1,1.56,2,1.6,1.9,,
6,Melbourne,Australian Open,18/01/03,Grand Slam,Outdoor,Hard,3rd Round,5,El Aynaoui Y.,Lopez F.,22,62,5,7,6,2,7,6,7,6,,,3,1,Completed,,,,,,,,
6,Melbourne,Australian Open,18/01/03,Grand Slam,Outdoor,Hard,3rd Round,5,Federer R.,Vinciguerra A.,6,145,6,3,6,4,6,2,,,,,3,0,Completed,,,,,,,,
6,Melbourne,Australian Open,17/01/03,Grand Slam,Outdoor,Hard,3rd Round,5,Ferreira W.,Fish M.,39,77,2,6,3,6,6,1,6,4,6,0,3,2,Completed,1.667,2.1,1.67,1.85,1.6,1.9,,
6,Melbourne,Australian Open,17/01/03,Grand Slam,Outdoor,Hard,3rd Round,5,Ferrero J.C.,Santoro F.,4,34,4,6,6,3,4,6,6,2,7,5,3,2,Completed,1.286,3.5,1.2,3.45,1.25,3,,
6,Melbourne,Australian Open,17/01/03,Grand Slam,Outdoor,Hard,3rd Round,5,Grosjean S.,Lapentti N.,16,30,6,1,6,3,6,3,,,,,3,0,Completed,1.4,2.75,1.31,2.8,1.45,2.2,,
6,Melbourne,Australian Open,18/01/03,Grand Slam,Outdoor,Hard,3rd Round,5,Hewitt L.,Stepanek R.,1,69,6,3,6,2,6,0,,,,,3,0,Completed,,,,,,,,
6,Melbourne,Australian Open,17/01/03,Grand Slam,Outdoor,Hard,3rd Round,5,Mantilla F.,Costa A.,73,8,3,6,6,3,4,6,6,1,6,3,3,2,Completed,2,1.727,2.15,1.5,1.85,1.65,,
6,Melbourne,Australian Open,18/01/03,Grand Slam,Outdoor,Hard,3rd Round,5,Nalbandian D.,Malisse X.,12,23,4,6,6,2,6,0,3,0,,,2,1,Retired,,,,,,,,
6,Melbourne,Australian Open,18/01/03,Grand Slam,Outdoor,Hard,3rd Round,5,Roddick A.,Vicente F.,10,58,6,2,6,3,6,2,,,,,3,0,Completed,,,,,,,,
6,Melbourne,Australian Open,17/01/03,Grand Slam,Outdoor,Hard,3rd Round,5,Sargsian S.,Philippoussis M.,94,104,5,7,7,5,6,0,6,4,,,3,1,Completed,3.5,1.286,3.1,1.25,3,1.25,,
6,Melbourne,Australian Open,18/01/03,Grand Slam,Outdoor,Hard,3rd Round,5,Schuettler R.,Safin M.,36,3,,,,,,,,,,,0,0,Walkover,,,,,,,,
6,Melbourne,Australian Open,18/01/03,Grand Slam,Outdoor,Hard,3rd Round,5,Youzhny M.,Novak J.,31,7,6,1,3,6,6,3,6,2,,,3,1,Completed,,,,,,,,
6,Melbourne,Australian Open,19/01/03,Grand Slam,Outdoor,Hard,4th Round,5,Agassi A.,Coria G.,2,45,6,1,3,1,,,,,,,1,0,Retired,1.125,5.5,1.04,6.25,1.15,3.8,1.1,6
6,Melbourne,Australian Open,20/01/03,Grand Slam,Outdoor,Hard,4th Round,5,El Aynaoui Y.,Hewitt L.,22,1,6,7,7,6,7,6,6,4,,,3,1,Completed,6,1.111,6.25,1.04,4.5,1.1,6,1.1
6,Melbourne,Australian Open,19/01/03,Grand Slam,Outdoor,Hard,4th Round,5,Ferreira W.,Sargsian S.,39,94,6,3,6,4,3,6,6,3,,,3,1,Completed,1.571,2.25,1.58,1.97,1.45,2.2,1.615,2.2
6,Melbourne,Australian Open,19/01/03,Grand Slam,Outdoor,Hard,4th Round,5,Ferrero J.C.,Ancic M.,4,88,6,0,6,3,6,2,,,,,3,0,Completed,1.167,4.5,1.14,4.05,1.15,3.8,1.2,4
6,Melbourne,Australian Open,19/01/03,Grand Slam,Outdoor,Hard,4th Round,5,Grosjean S.,Mantilla F.,16,73,3,6,2,6,6,3,6,3,6,3,3,2,Completed,1.222,4,1.14,4.05,1.25,3,1.2,4
6,Melbourne,Australian Open,20/01/03,Grand Slam,Outdoor,Hard,4th Round,5,Nalbandian D.,Federer R.,12,6,6,4,3,6,6,1,1,6,6,3,3,2,Completed,2.75,1.4,2.85,1.3,2.7,1.3,2.75,1.4
6,Melbourne,Australian Open,20/01/03,Grand Slam,Outdoor,Hard,4th Round,5,Roddick A.,Youzhny M.,10,31,6,7,3,6,7,5,6,3,6,2,3,2,Completed,1.571,2.25,1.36,2.5,1.45,2.2,1.533,2.375
