"name","match_id","date","rank","round","match_minutes","sets","tournament","total_pts","winner","hand","avg_odds","max_odds","birthday","max(year)","experience"
"Adrian Mannarino","m_2018_A_85",2018-01-18,27,"2nd Round",188,3,"Australian Open",145,TRUE,"L",1.37,1.43,1988-06-29,2018,57
"Adrian Mannarino","m_2018_F_54",2018-05-29,26,"1st Round",123,0,"French Open",78,FALSE,"L",2.68,2.8,1988-06-29,2018,58
"Adrian Mannarino","m_2018_L_112",2018-09-07,26,"4th Round",105,0,"Wimbledon",70,FALSE,"L",16.15,24.55,1988-06-29,2018,59
"Adrian Mannarino","m_2018_L_27",2018-02-07,26,"1st Round",126,3,"Wimbledon",111,TRUE,"L",1.25,1.29,1988-06-29,2018,60
"Adrian Mannarino","m_2018_L_71",2018-04-07,26,"2nd Round",155,3,"Wimbledon",122,TRUE,"L",1.45,1.52,1988-06-29,2018,61
"Adrian Mannarino","m_2018_L_98",2018-06-07,26,"3rd Round",192,3,"Wimbledon",150,TRUE,"L",2.02,2.13,1988-06-29,2018,62
"Adrian Mannarino","m_2018_U_58",2018-08-28,29,"1st Round",157,1,"US Open",109,FALSE,"L",2.52,2.63,1988-06-29,2018,63
"Adrian Mannarino","m_2019_A_0",2019-01-14,42,"1st Round",173,1,"Australian Open",98,FALSE,"L",9.96,13.28,1988-06-29,2019,64
"Adrian Mannarino","m_2019_F_62",2019-05-28,48,"1st Round",224,3,"French Open",164,TRUE,"L",2.62,2.93,1988-06-29,2019,65
"Adrian Mannarino","m_2019_F_90",2019-05-30,48,"2nd Round",103,0,"French Open",73,FALSE,"L",7.34,8.55,1988-06-29,2019,66
"Adrian Mannarino","m_2019_L_59",2019-02-07,42,"1st Round",168,0,"Wimbledon",109,FALSE,"L",3.53,3.92,1988-06-29,2019,67
"Adrian Mannarino","m_2019_U_8",2019-08-26,57,"1st Round",182,1,"US Open",121,FALSE,"L",2.03,2.29,1988-06-29,2019,68
"Adrian Menendez Maceiras","m_2012_L_5",2012-06-25,212,"1st Round",126,0,"Wimbledon",78,FALSE,"R",2.88,3.2,1985-10-28,2012,1
"Adrian Menendez Maceiras","m_2013_A_43",2013-01-15,233,"1st Round",177,1,"Australian Open",119,FALSE,"R",3.99,4.5,1985-10-28,2013,2
"Adrian Menendez Maceiras","m_2017_U_41",2017-08-30,148,"1st Round",151,3,"US Open",114,TRUE,"R",1.07,1.11,1985-10-28,2017,3
"Adrian Menendez Maceiras","m_2017_U_85",2017-08-31,148,"2nd Round",130,0,"US Open",79,FALSE,"R",10.19,14.32,1985-10-28,2017,4
"Adrian Ungur","m_2012_F_22",2012-05-28,92,"1st Round",179,3,"French Open",132,TRUE,"R",10.59,16,1985-01-25,2012,1
"Adrian Ungur","m_2012_F_68",2012-05-30,92,"2nd Round",147,1,"French Open",115,FALSE,"R",25.54,62.75,1985-01-25,2012,2
"Adrian Ungur","m_2012_L_47",2012-06-26,81,"1st Round",100,0,"Wimbledon",80,FALSE,"R",5.32,6,1985-01-25,2012,3
"Adrian Ungur","m_2012_U_13",2012-08-27,110,"1st Round",137,0,"US Open",109,FALSE,"R",3.25,3.93,1985-01-25,2012,4
"Adrian Ungur","m_2013_A_11",2013-01-14,99,"1st Round",121,0,"Australian Open",82,FALSE,"R",3.31,4.4,1985-01-25,2013,5
"Adrian Ungur","m_2013_L_3",2013-06-24,94,"1st Round",111,1,"Wimbledon",96,FALSE,"R",8.3,11,1985-01-25,2013,6
"Adrian Ungur","m_2013_U_31",2013-08-27,105,"1st Round",67,0,"US Open",38,FALSE,"R",6.18,7,1985-01-25,2013,7
"Adrian Ungur","m_2016_F_2",2016-05-22,203,"1st Round",102,0,"French Open",85,FALSE,"R",1.68,1.81,1985-01-25,2016,8
"Adrian Voinea","m_2000_A_109",2000-01-17,95,"3rd Round",125,0,"Australian Open",71,FALSE,"R",NA,NA,1974-08-06,2000,1
"Adrian Voinea","m_2000_A_5",2000-01-17,95,"1st Round",172,3,"Australian Open",157,TRUE,"R",NA,NA,1974-08-06,2000,2
"Adrian Voinea","m_2000_A_79",2000-01-17,95,"2nd Round",83,3,"Australian Open",86,TRUE,"R",NA,NA,1974-08-06,2000,3
"Adrian Voinea","m_2000_F_6",2000-05-29,90,"1st Round",118,1,"French Open",78,FALSE,"R",NA,NA,1974-08-06,2000,4
"Adrian Voinea","m_2000_L_27",2000-06-26,93,"1st Round",22,0,"Wimbledon",19,FALSE,"R",NA,NA,1974-08-06,2000,5
"Adrian Voinea","m_2000_U_62",2000-08-28,90,"1st Round",98,3,"US Open",98,TRUE,"R",NA,NA,1974-08-06,2000,6
"Adrian Voinea","m_2000_U_94",2000-08-28,90,"2nd Round",90,0,"US Open",64,FALSE,"R",NA,NA,1974-08-06,2000,7
"Adrian Voinea","m_2001_A_60",2001-01-15,114,"1st Round",110,0,"Australian Open",87,FALSE,"R",NA,NA,1974-08-06,2001,8
"Adrian Voinea","m_2002_A_111",2002-01-14,107,"3rd Round",148,3,"Australian Open",138,TRUE,"R",NA,NA,1974-08-06,2002,9
"Adrian Voinea","m_2002_A_115",2002-01-14,107,"4th Round",147,1,"Australian Open",103,FALSE,"R",NA,NA,1974-08-06,2002,10
"Adrian Voinea","m_2002_A_61",2002-01-14,107,"1st Round",154,3,"Australian Open",134,TRUE,"R",NA,NA,1974-08-06,2002,11
"Adrian Voinea","m_2002_A_94",2002-01-14,107,"2nd Round",174,3,"Australian Open",151,TRUE,"R",NA,NA,1974-08-06,2002,12
"Adrian Voinea","m_2002_F_62",2002-05-27,59,"1st Round",184,3,"French Open",155,TRUE,"R",NA,NA,1974-08-06,2002,13
"Adrian Voinea","m_2002_F_92",2002-05-27,59,"2nd Round",217,2,"French Open",182,FALSE,"R",NA,NA,1974-08-06,2002,14
"Adrian Voinea","m_2002_L_110",2002-06-24,63,"3rd Round",121,1,"Wimbledon",105,FALSE,"R",NA,NA,1974-08-06,2002,15
"Adrian Voinea","m_2002_L_61",2002-06-24,63,"1st Round",102,3,"Wimbledon",120,TRUE,"R",NA,NA,1974-08-06,2002,16
"Adrian Voinea","m_2002_L_94",2002-06-24,63,"2nd Round",135,3,"Wimbledon",125,TRUE,"R",NA,NA,1974-08-06,2002,17
"Adrian Voinea","m_2002_U_44",2002-08-26,63,"1st Round",141,1,"US Open",120,FALSE,"R",NA,NA,1974-08-06,2002,18
"Adrian Voinea","m_2003_A_62",2003-01-14,59,"1st Round",126,3,"Australian Open",116,TRUE,"R",NA,NA,1974-08-06,2003,19
"Adrian Voinea","m_2003_A_87",2003-01-16,59,"2nd Round",77,0,"Australian Open",60,FALSE,"R",NA,NA,1974-08-06,2003,20
"Adrian Voinea","m_2003_F_54",2003-05-27,99,"1st Round",197,1,"French Open",137,FALSE,"R",NA,NA,1974-08-06,2003,21
"Adrian Voinea","m_2003_L_7",2003-06-23,113,"1st Round",98,0,"Wimbledon",63,FALSE,"R",NA,NA,1974-08-06,2003,22
"Agustin Calleri","m_2000_F_105",2000-05-29,102,"3rd Round",136,1,"French Open",102,FALSE,"R",NA,NA,1976-09-14,2000,1
"Agustin Calleri","m_2000_F_5",2000-05-29,102,"1st Round",116,3,"French Open",111,TRUE,"R",NA,NA,1976-09-14,2000,2
"Agustin Calleri","m_2000_F_65",2000-05-29,102,"2nd Round",145,3,"French Open",140,TRUE,"R",NA,NA,1976-09-14,2000,3
"Agustin Calleri","m_2000_U_111",2000-08-28,72,"3rd Round",122,0,"US Open",92,FALSE,"R",NA,NA,1976-09-14,2000,4
"Agustin Calleri","m_2000_U_66",2000-08-28,72,"2nd Round",129,3,"US Open",105,TRUE,"R",NA,NA,1976-09-14,2000,5
"Agustin Calleri","m_2000_U_8",2000-08-28,72,"1st Round",109,3,"US Open",102,TRUE,"R",NA,NA,1976-09-14,2000,6
"Agustin Calleri","m_2001_A_5",2001-01-15,63,"1st Round",151,3,"Australian Open",128,TRUE,"R",NA,NA,1976-09-14,2001,7
"Agustin Calleri","m_2001_A_80",2001-01-15,63,"2nd Round",218,2,"Australian Open",155,FALSE,"R",NA,NA,1976-09-14,2001,8
"Agustin Calleri","m_2001_F_12",2001-05-28,74,"1st Round",96,3,"French Open",94,TRUE,"R",NA,NA,1976-09-14,2001,9
"Agustin Calleri","m_2001_F_81",2001-05-28,74,"2nd Round",123,0,"French Open",88,FALSE,"R",NA,NA,1976-09-14,2001,10
"Agustin Calleri","m_2001_L_47",2001-06-25,80,"1st Round",148,1,"Wimbledon",116,FALSE,"R",NA,NA,1976-09-14,2001,11
"Agustin Calleri","m_2001_U_1",2001-08-27,101,"1st Round",193,2,"US Open",145,FALSE,"R",NA,NA,1976-09-14,2001,12
"Agustin Calleri","m_2002_A_42",2002-01-14,66,"1st Round",186,2,"Australian Open",152,FALSE,"R",NA,NA,1976-09-14,2002,13
"Agustin Calleri","m_2002_F_41",2002-05-27,51,"1st Round",134,1,"French Open",87,FALSE,"R",NA,NA,1976-09-14,2002,14
"Agustin Calleri","m_2002_L_50",2002-06-24,56,"1st Round",212,2,"Wimbledon",172,FALSE,"R",NA,NA,1976-09-14,2002,15
"Agustin Calleri","m_2002_U_41",2002-08-26,45,"1st Round",177,1,"US Open",137,FALSE,"R",NA,NA,1976-09-14,2002,16
"Agustin Calleri","m_2003_A_54",2003-01-13,51,"1st Round",157,1,"Australian Open",108,FALSE,"R",NA,NA,1976-09-14,2003,17
"Agustin Calleri","m_2003_F_61",2003-05-27,19,"1st Round",139,0,"French Open",100,FALSE,"R",NA,NA,1976-09-14,2003,18
"Agustin Calleri","m_2003_L_7",2003-06-23,18,"1st Round",98,2,"Wimbledon",81,TRUE,"R",NA,NA,1976-09-14,2003,19
"Agustin Calleri","m_2003_L_70",2003-06-25,18,"2nd Round",268,2,"Wimbledon",201,FALSE,"R",NA,NA,1976-09-14,2003,20
"Agustin Calleri","m_2003_U_39",2003-08-26,19,"1st Round",162,3,"US Open",124,TRUE,"R",NA,NA,1976-09-14,2003,21
"Agustin Calleri","m_2003_U_80",2003-08-29,19,"2nd Round",179,2,"US Open",132,FALSE,"R",NA,NA,1976-09-14,2003,22
"Agustin Calleri","m_2004_A_59",2004-01-20,22,"1st Round",146,3,"Australian Open",129,TRUE,"R",NA,NA,1976-09-14,2004,23
"Agustin Calleri","m_2004_A_87",2004-01-22,22,"2nd Round",197,2,"Australian Open",149,FALSE,"R",NA,NA,1976-09-14,2004,24
"Agustin Calleri","m_2004_F_49",2004-05-25,42,"1st Round",102,1,"French Open",68,FALSE,"R",NA,NA,1976-09-14,2004,25
"Agustin Calleri","m_2005_A_4",2005-01-17,66,"1st Round",199,3,"Australian Open",154,TRUE,"R",NA,NA,1976-09-14,2005,26
"Agustin Calleri","m_2005_A_71",2005-01-19,66,"2nd Round",195,2,"Australian Open",143,FALSE,"R",NA,NA,1976-09-14,2005,27
"Agustin Calleri","m_2005_U_62",2005-08-31,67,"1st Round",251,2,"US Open",178,FALSE,"R",NA,NA,1976-09-14,2005,28
"Agustin Calleri","m_2006_A_12",2006-01-16,52,"1st Round",166,1,"Australian Open",115,FALSE,"R",NA,NA,1976-09-14,2006,29
"Agustin Calleri","m_2006_L_16",2006-06-27,58,"1st Round",186,3,"Wimbledon",163,TRUE,"R",NA,NA,1976-09-14,2006,30
"Agustin Calleri","m_2006_L_70",2006-06-28,58,"2nd Round",141,0,"Wimbledon",119,FALSE,"R",NA,NA,1976-09-14,2006,31
"Agustin Calleri","m_2006_U_43",2006-08-30,28,"1st Round",196,1,"US Open",156,FALSE,"R",NA,NA,1976-09-14,2006,32
"Agustin Calleri","m_2007_A_4",2007-01-15,26,"1st Round",150,1,"Australian Open",130,FALSE,"R",NA,NA,1976-09-14,2007,33
"Agustin Calleri","m_2007_F_41",2007-05-29,29,"1st Round",210,1,"French Open",162,FALSE,"R",NA,NA,1976-09-14,2007,34
"Agustin Calleri","m_2007_L_43",2007-06-26,29,"1st Round",111,3,"Wimbledon",110,TRUE,"R",NA,NA,1976-09-14,2007,35
"Agustin Calleri","m_2007_L_85",2007-06-28,29,"2nd Round",154,1,"Wimbledon",135,FALSE,"R",NA,NA,1976-09-14,2007,36
"Agustin Calleri","m_2007_U_107",2007-02-09,58,"3rd Round",113,0,"US Open",86,FALSE,"R",NA,NA,1976-09-14,2007,37
"Agustin Calleri","m_2007_U_44",2007-08-28,58,"1st Round",169,3,"US Open",142,TRUE,"R",NA,NA,1976-09-14,2007,38
"Agustin Calleri","m_2007_U_94",2007-08-31,58,"2nd Round",161,3,"US Open",132,TRUE,"R",NA,NA,1976-09-14,2007,39
"Agustin Calleri","m_2008_A_24",2008-01-14,41,"1st Round",165,3,"Australian Open",133,TRUE,"R",NA,NA,1976-09-14,2008,40
"Agustin Calleri","m_2008_A_66",2008-01-16,41,"2nd Round",133,0,"Australian Open",105,FALSE,"R",NA,NA,1976-09-14,2008,41
"Agustin Calleri","m_2008_F_41",2008-05-28,54,"1st Round",171,1,"French Open",128,FALSE,"R",NA,NA,1976-09-14,2008,42
"Agustin Calleri","m_2008_L_50",2008-06-24,49,"1st Round",125,3,"Wimbledon",119,TRUE,"R",NA,NA,1976-09-14,2008,43
"Agustin Calleri","m_2008_L_95",2008-06-26,49,"2nd Round",118,1,"Wimbledon",105,FALSE,"R",NA,NA,1976-09-14,2008,44
"Agustin Calleri","m_2008_U_48",2008-08-27,49,"1st Round",78,3,"US Open",88,TRUE,"R",NA,NA,1976-09-14,2008,45
"Agustin Calleri","m_2008_U_82",2008-08-29,49,"2nd Round",152,0,"US Open",96,FALSE,"R",NA,NA,1976-09-14,2008,46
"Agustin Calleri","m_2009_A_20",2009-01-19,66,"1st Round",284,1,"Australian Open",101,FALSE,"R",NA,NA,1976-09-14,2009,47
"Agustin Calleri","m_2009_F_9",2009-05-24,118,"1st Round",89,0,"French Open",51,FALSE,"R",NA,NA,1976-09-14,2009,48
"Agustin Calleri","m_2009_L_5",2009-06-22,148,"1st Round",99,0,"Wimbledon",61,FALSE,"R",NA,NA,1976-09-14,2009,49
"Aisam Ul Haq Qureshi","m_2007_L_13",2007-06-26,279,"1st Round",136,3,"Wimbledon",122,TRUE,"R",NA,NA,1980-03-17,2007,1
"Aisam Ul Haq Qureshi","m_2007_L_69",2007-06-28,279,"2nd Round",119,0,"Wimbledon",92,FALSE,"R",NA,NA,1980-03-17,2007,2
"Aisam Ul Haq Qureshi","m_2008_U_54",2008-08-27,210,"1st Round",165,1,"US Open",107,FALSE,"R",NA,NA,1980-03-17,2008,3
"Alan Mackin","m_2002_L_39",2002-06-24,355,"1st Round",116,0,"Wimbledon",88,FALSE,"R",NA,NA,1981-08-11,2002,1
"Alan Mackin","m_2003_L_6",2003-06-23,356,"1st Round",117,0,"Wimbledon",72,FALSE,"R",NA,NA,1981-08-11,2003,2
"Alan Mackin","m_2005_L_7",2005-06-20,218,"1st Round",87,0,"Wimbledon",70,FALSE,"R",NA,NA,1981-08-11,2005,3
"Alan Mackin","m_2006_L_54",2006-06-28,367,"1st Round",261,2,"Wimbledon",181,FALSE,"R",NA,NA,1981-08-11,2006,4
"Alan Mackin","m_2007_A_33",2007-01-16,270,"1st Round",134,0,"Australian Open",85,FALSE,"R",NA,NA,1981-08-11,2007,5
"Albano Olivetti","m_2013_U_8",2013-08-26,302,"1st Round",94,0,"US Open",71,FALSE,"R",2.44,2.73,1991-11-24,2013,1
"Albano Olivetti","m_2014_F_62",2014-05-27,161,"1st Round",101,0,"French Open",68,FALSE,"R",6.06,7,1991-11-24,2014,2
"Albano Olivetti","m_2016_L_58",2016-06-30,793,"1st Round",242,2,"Wimbledon",216,FALSE,"R",2.58,2.7,1991-11-24,2016,3
"Albert Costa","m_2000_A_4",2000-01-17,20,"1st Round",148,1,"Australian Open",127,FALSE,"R",NA,NA,1975-06-25,2000,1
"Albert Costa","m_2000_F_113",2000-05-29,18,"4th Round",182,3,"French Open",133,TRUE,"R",NA,NA,1975-06-25,2000,2
"Albert Costa","m_2000_F_123",2000-05-29,18,"Quarterfinals",184,1,"French Open",127,FALSE,"R",NA,NA,1975-06-25,2000,3
"Albert Costa","m_2000_F_13",2000-05-29,18,"1st Round",77,3,"French Open",85,TRUE,"R",NA,NA,1975-06-25,2000,4
"Albert Costa","m_2000_F_68",2000-05-29,18,"2nd Round",158,2,"French Open",100,TRUE,"R",NA,NA,1975-06-25,2000,5
"Albert Costa","m_2000_F_97",2000-05-29,18,"3rd Round",189,3,"French Open",150,TRUE,"R",NA,NA,1975-06-25,2000,6
"Albert Costa","m_2000_U_12",2000-08-28,24,"1st Round",146,3,"US Open",138,TRUE,"R",NA,NA,1975-06-25,2000,7
"Albert Costa","m_2000_U_85",2000-08-28,24,"2nd Round",96,0,"US Open",66,FALSE,"R",NA,NA,1975-06-25,2000,8
"Albert Costa","m_2001_F_8",2001-05-28,34,"1st Round",226,2,"French Open",157,FALSE,"R",NA,NA,1975-06-25,2001,9
"Albert Costa","m_2001_U_115",2001-08-27,40,"4th Round",123,0,"US Open",93,FALSE,"R",NA,NA,1975-06-25,2001,10
"Albert Costa","m_2001_U_68",2001-08-27,40,"2nd Round",115,3,"US Open",104,TRUE,"R",NA,NA,1975-06-25,2001,11
"Albert Costa","m_2001_U_9",2001-08-27,40,"1st Round",110,3,"US Open",99,TRUE,"R",NA,NA,1975-06-25,2001,12
"Albert Costa","m_2001_U_98",2001-08-27,40,"3rd Round",129,3,"US Open",112,TRUE,"R",NA,NA,1975-06-25,2001,13
"Albert Costa","m_2002_A_113",2002-01-14,40,"4th Round",250,2,"Australian Open",181,FALSE,"R",NA,NA,1975-06-25,2002,14
"Albert Costa","m_2002_A_12",2002-01-14,40,"1st Round",152,3,"Australian Open",113,TRUE,"R",NA,NA,1975-06-25,2002,15
"Albert Costa","m_2002_A_67",2002-01-14,40,"2nd Round",103,3,"Australian Open",89,TRUE,"R",NA,NA,1975-06-25,2002,16
"Albert Costa","m_2002_A_97",2002-01-14,40,"3rd Round",125,3,"Australian Open",107,TRUE,"R",NA,NA,1975-06-25,2002,17
