name,match_id,rank,round,match_minutes,sets,tournament,total_pts,winner,hand,avg_odds,max_odds,birthday,max(year),experience
Adrian Ungur,m_2013_U_31,105,1st Round,67,0,US Open,38,FALSE,R,6.18,7,1/25/1985,2013,7
Adrian Ungur,m_2016_F_2,203,1st Round,102,0,French Open,85,FALSE,R,1.68,1.81,1/25/1985,2016,8
Adrian Voinea,m_2000_A_109,95,3rd Round,125,0,Australian Open,71,FALSE,R,NA,NA,8/6/1974,2000,1
Adrian Voinea,m_2000_A_5,95,1st Round,172,3,Australian Open,157,TRUE,R,NA,NA,8/6/1974,2000,2
Adrian Voinea,m_2000_A_79,95,2nd Round,83,3,Australian Open,86,TRUE,R,NA,NA,8/6/1974,2000,3
Adrian Voinea,m_2000_F_6,90,1st Round,118,1,French Open,78,FALSE,R,NA,NA,8/6/1974,2000,4
Adrian Voinea,m_2000_L_27,93,1st Round,22,0,Wimbledon,19,FALSE,R,NA,NA,8/6/1974,2000,5
Adrian Voinea,m_2000_U_62,90,1st Round,98,3,US Open,98,TRUE,R,NA,NA,8/6/1974,2000,6
Adrian Voinea,m_2000_U_94,90,2nd Round,90,0,US Open,64,FALSE,R,NA,NA,8/6/1974,2000,7
Adrian Voinea,m_2001_A_60,114,1st Round,110,0,Australian Open,87,FALSE,R,NA,NA,8/6/1974,2001,8
Adrian Voinea,m_2002_A_111,107,3rd Round,148,3,Australian Open,138,TRUE,R,NA,NA,8/6/1974,2002,9
Adrian Voinea,m_2002_A_115,107,4th Round,147,1,Australian Open,103,FALSE,R,NA,NA,8/6/1974,2002,10
Adrian Voinea,m_2002_A_61,107,1st Round,154,3,Australian Open,134,TRUE,R,NA,NA,8/6/1974,2002,11
Adrian Voinea,m_2002_A_94,107,2nd Round,174,3,Australian Open,151,TRUE,R,NA,NA,8/6/1974,2002,12
Adrian Voinea,m_2002_F_62,59,1st Round,184,3,French Open,155,TRUE,R,NA,NA,8/6/1974,2002,13
Adrian Voinea,m_2002_F_92,59,2nd Round,217,2,French Open,182,FALSE,R,NA,NA,8/6/1974,2002,14
Adrian Voinea,m_2002_L_110,63,3rd Round,121,1,Wimbledon,105,FALSE,R,NA,NA,8/6/1974,2002,15
Adrian Voinea,m_2002_L_61,63,1st Round,102,3,Wimbledon,120,TRUE,R,NA,NA,8/6/1974,2002,16
Adrian Voinea,m_2002_L_94,63,2nd Round,135,3,Wimbledon,125,TRUE,R,NA,NA,8/6/1974,2002,17
Adrian Voinea,m_2002_U_44,63,1st Round,141,1,US Open,120,FALSE,R,NA,NA,8/6/1974,2002,18
Adrian Voinea,m_2003_A_62,59,1st Round,126,3,Australian Open,116,TRUE,R,NA,NA,8/6/1974,2003,19
Adrian Voinea,m_2003_A_87,59,2nd Round,77,0,Australian Open,60,FALSE,R,NA,NA,8/6/1974,2003,20
Adrian Voinea,m_2003_F_54,99,1st Round,197,1,French Open,137,FALSE,R,NA,NA,8/6/1974,2003,21
Adrian Voinea,m_2003_L_7,113,1st Round,98,0,Wimbledon,63,FALSE,R,NA,NA,8/6/1974,2003,22
Agustin Calleri,m_2000_F_105,102,3rd Round,136,1,French Open,102,FALSE,R,NA,NA,9/14/1976,2000,1
Agustin Calleri,m_2000_F_5,102,1st Round,116,3,French Open,111,TRUE,R,NA,NA,9/14/1976,2000,2
Agustin Calleri,m_2000_F_65,102,2nd Round,145,3,French Open,140,TRUE,R,NA,NA,9/14/1976,2000,3
Agustin Calleri,m_2000_U_111,72,3rd Round,122,0,US Open,92,FALSE,R,NA,NA,9/14/1976,2000,4
Agustin Calleri,m_2000_U_66,72,2nd Round,129,3,US Open,105,TRUE,R,NA,NA,9/14/1976,2000,5
Agustin Calleri,m_2000_U_8,72,1st Round,109,3,US Open,102,TRUE,R,NA,NA,9/14/1976,2000,6
Agustin Calleri,m_2001_A_5,63,1st Round,151,3,Australian Open,128,TRUE,R,NA,NA,9/14/1976,2001,7
Agustin Calleri,m_2001_A_80,63,2nd Round,218,2,Australian Open,155,FALSE,R,NA,NA,9/14/1976,2001,8
Agustin Calleri,m_2001_F_12,74,1st Round,96,3,French Open,94,TRUE,R,NA,NA,9/14/1976,2001,9
Agustin Calleri,m_2001_F_81,74,2nd Round,123,0,French Open,88,FALSE,R,NA,NA,9/14/1976,2001,10
Agustin Calleri,m_2001_L_47,80,1st Round,148,1,Wimbledon,116,FALSE,R,NA,NA,9/14/1976,2001,11
Agustin Calleri,m_2001_U_1,101,1st Round,193,2,US Open,145,FALSE,R,NA,NA,9/14/1976,2001,12
Agustin Calleri,m_2002_A_42,66,1st Round,186,2,Australian Open,152,FALSE,R,NA,NA,9/14/1976,2002,13
Agustin Calleri,m_2002_F_41,51,1st Round,134,1,French Open,87,FALSE,R,NA,NA,9/14/1976,2002,14
Agustin Calleri,m_2002_L_50,56,1st Round,212,2,Wimbledon,172,FALSE,R,NA,NA,9/14/1976,2002,15
Agustin Calleri,m_2002_U_41,45,1st Round,177,1,US Open,137,FALSE,R,NA,NA,9/14/1976,2002,16
Agustin Calleri,m_2003_A_54,51,1st Round,157,1,Australian Open,108,FALSE,R,NA,NA,9/14/1976,2003,17
Agustin Calleri,m_2003_F_61,19,1st Round,139,0,French Open,100,FALSE,R,NA,NA,9/14/1976,2003,18
Agustin Calleri,m_2003_L_7,18,1st Round,98,2,Wimbledon,81,TRUE,R,NA,NA,9/14/1976,2003,19
Agustin Calleri,m_2003_L_70,18,2nd Round,268,2,Wimbledon,201,FALSE,R,NA,NA,9/14/1976,2003,20
Agustin Calleri,m_2003_U_39,19,1st Round,162,3,US Open,124,TRUE,R,NA,NA,9/14/1976,2003,21
Agustin Calleri,m_2003_U_80,19,2nd Round,179,2,US Open,132,FALSE,R,NA,NA,9/14/1976,2003,22
Agustin Calleri,m_2004_A_59,22,1st Round,146,3,Australian Open,129,TRUE,R,NA,NA,9/14/1976,2004,23
Agustin Calleri,m_2004_A_87,22,2nd Round,197,2,Australian Open,149,FALSE,R,NA,NA,9/14/1976,2004,24
Agustin Calleri,m_2004_F_49,42,1st Round,102,1,French Open,68,FALSE,R,NA,NA,9/14/1976,2004,25
Agustin Calleri,m_2005_A_4,66,1st Round,199,3,Australian Open,154,TRUE,R,NA,NA,9/14/1976,2005,26
Agustin Calleri,m_2005_A_71,66,2nd Round,195,2,Australian Open,143,FALSE,R,NA,NA,9/14/1976,2005,27
Agustin Calleri,m_2005_U_62,67,1st Round,251,2,US Open,178,FALSE,R,NA,NA,9/14/1976,2005,28
Agustin Calleri,m_2006_A_12,52,1st Round,166,1,Australian Open,115,FALSE,R,NA,NA,9/14/1976,2006,29
Agustin Calleri,m_2006_L_16,58,1st Round,186,3,Wimbledon,163,TRUE,R,NA,NA,9/14/1976,2006,30
Agustin Calleri,m_2006_L_70,58,2nd Round,141,0,Wimbledon,119,FALSE,R,NA,NA,9/14/1976,2006,31
Agustin Calleri,m_2006_U_43,28,1st Round,196,1,US Open,156,FALSE,R,NA,NA,9/14/1976,2006,32
Agustin Calleri,m_2007_A_4,26,1st Round,150,1,Australian Open,130,FALSE,R,NA,NA,9/14/1976,2007,33
Agustin Calleri,m_2007_F_41,29,1st Round,210,1,French Open,162,FALSE,R,NA,NA,9/14/1976,2007,34
Agustin Calleri,m_2007_L_43,29,1st Round,111,3,Wimbledon,110,TRUE,R,NA,NA,9/14/1976,2007,35
Agustin Calleri,m_2007_L_85,29,2nd Round,154,1,Wimbledon,135,FALSE,R,NA,NA,9/14/1976,2007,36
Agustin Calleri,m_2007_U_107,58,3rd Round,113,0,US Open,86,FALSE,R,NA,NA,9/14/1976,2007,37
Agustin Calleri,m_2007_U_44,58,1st Round,169,3,US Open,142,TRUE,R,NA,NA,9/14/1976,2007,38
Agustin Calleri,m_2007_U_94,58,2nd Round,161,3,US Open,132,TRUE,R,NA,NA,9/14/1976,2007,39
Agustin Calleri,m_2008_A_24,41,1st Round,165,3,Australian Open,133,TRUE,R,NA,NA,9/14/1976,2008,40
Agustin Calleri,m_2008_A_66,41,2nd Round,133,0,Australian Open,105,FALSE,R,NA,NA,9/14/1976,2008,41
Agustin Calleri,m_2008_F_41,54,1st Round,171,1,French Open,128,FALSE,R,NA,NA,9/14/1976,2008,42
Agustin Calleri,m_2008_L_50,49,1st Round,125,3,Wimbledon,119,TRUE,R,NA,NA,9/14/1976,2008,43
Agustin Calleri,m_2008_L_95,49,2nd Round,118,1,Wimbledon,105,FALSE,R,NA,NA,9/14/1976,2008,44
Agustin Calleri,m_2008_U_48,49,1st Round,78,3,US Open,88,TRUE,R,NA,NA,9/14/1976,2008,45
Agustin Calleri,m_2008_U_82,49,2nd Round,152,0,US Open,96,FALSE,R,NA,NA,9/14/1976,2008,46
Agustin Calleri,m_2009_A_20,66,1st Round,284,1,Australian Open,101,FALSE,R,NA,NA,9/14/1976,2009,47
Agustin Calleri,m_2009_F_9,118,1st Round,89,0,French Open,51,FALSE,R,NA,NA,9/14/1976,2009,48
Agustin Calleri,m_2009_L_5,148,1st Round,99,0,Wimbledon,61,FALSE,R,NA,NA,9/14/1976,2009,49
Aisam Ul Haq Qureshi,m_2007_L_13,279,1st Round,136,3,Wimbledon,122,TRUE,R,NA,NA,3/17/1980,2007,1
Aisam Ul Haq Qureshi,m_2007_L_69,279,2nd Round,119,0,Wimbledon,92,FALSE,R,NA,NA,3/17/1980,2007,2
Aisam Ul Haq Qureshi,m_2008_U_54,210,1st Round,165,1,US Open,107,FALSE,R,NA,NA,3/17/1980,2008,3
Alan Mackin,m_2002_L_39,355,1st Round,116,0,Wimbledon,88,FALSE,R,NA,NA,8/11/1981,2002,1
Alan Mackin,m_2003_L_6,356,1st Round,117,0,Wimbledon,72,FALSE,R,NA,NA,8/11/1981,2003,2
Alan Mackin,m_2005_L_7,218,1st Round,87,0,Wimbledon,70,FALSE,R,NA,NA,8/11/1981,2005,3
Alan Mackin,m_2006_L_54,367,1st Round,261,2,Wimbledon,181,FALSE,R,NA,NA,8/11/1981,2006,4
Alan Mackin,m_2007_A_33,270,1st Round,134,0,Australian Open,85,FALSE,R,NA,NA,8/11/1981,2007,5
Albano Olivetti,m_2013_U_8,302,1st Round,94,0,US Open,71,FALSE,R,2.44,2.73,11/24/1991,2013,1
Albano Olivetti,m_2014_F_62,161,1st Round,101,0,French Open,68,FALSE,R,6.06,7,11/24/1991,2014,2
Albano Olivetti,m_2016_L_58,793,1st Round,242,2,Wimbledon,216,FALSE,R,2.58,2.7,11/24/1991,2016,3
Albert Costa,m_2000_A_4,20,1st Round,148,1,Australian Open,127,FALSE,R,NA,NA,6/25/1975,2000,1
Albert Costa,m_2000_F_113,18,4th Round,182,3,French Open,133,TRUE,R,NA,NA,6/25/1975,2000,2
Albert Costa,m_2000_F_123,18,Quarterfinals,184,1,French Open,127,FALSE,R,NA,NA,6/25/1975,2000,3
Albert Costa,m_2000_F_13,18,1st Round,77,3,French Open,85,TRUE,R,NA,NA,6/25/1975,2000,4
Albert Costa,m_2000_F_68,18,2nd Round,158,2,French Open,100,TRUE,R,NA,NA,6/25/1975,2000,5
Albert Costa,m_2000_F_97,18,3rd Round,189,3,French Open,150,TRUE,R,NA,NA,6/25/1975,2000,6
Albert Costa,m_2000_U_12,24,1st Round,146,3,US Open,138,TRUE,R,NA,NA,6/25/1975,2000,7
Albert Costa,m_2000_U_85,24,2nd Round,96,0,US Open,66,FALSE,R,NA,NA,6/25/1975,2000,8
Albert Costa,m_2001_F_8,34,1st Round,226,2,French Open,157,FALSE,R,NA,NA,6/25/1975,2001,9
Albert Costa,m_2001_U_115,40,4th Round,123,0,US Open,93,FALSE,R,NA,NA,6/25/1975,2001,10
Albert Costa,m_2001_U_68,40,2nd Round,115,3,US Open,104,TRUE,R,NA,NA,6/25/1975,2001,11
Albert Costa,m_2001_U_9,40,1st Round,110,3,US Open,99,TRUE,R,NA,NA,6/25/1975,2001,12
Albert Costa,m_2001_U_98,40,3rd Round,129,3,US Open,112,TRUE,R,NA,NA,6/25/1975,2001,13
Albert Costa,m_2002_A_113,40,4th Round,250,2,Australian Open,181,FALSE,R,NA,NA,6/25/1975,2002,14
Albert Costa,m_2002_A_12,40,1st Round,152,3,Australian Open,113,TRUE,R,NA,NA,6/25/1975,2002,15
Albert Costa,m_2002_A_67,40,2nd Round,103,3,Australian Open,89,TRUE,R,NA,NA,6/25/1975,2002,16
Albert Costa,m_2002_A_97,40,3rd Round,125,3,Australian Open,107,TRUE,R,NA,NA,6/25/1975,2002,17
Albert Costa,m_2002_F_10,22,1st Round,141,3,French Open,124,TRUE,R,NA,NA,6/25/1975,2002,18
Albert Costa,m_2002_F_115,22,4th Round,140,3,French Open,114,TRUE,R,NA,NA,6/25/1975,2002,19
Albert Costa,m_2002_F_121,22,Quarterfinals,234,3,French Open,155,TRUE,R,NA,NA,6/25/1975,2002,20
Albert Costa,m_2002_F_124,22,Semifinals,190,3,French Open,131,TRUE,R,NA,NA,6/25/1975,2002,21
Albert Costa,m_2002_F_126,22,The Final,150,3,French Open,124,TRUE,R,NA,NA,6/25/1975,2002,22
Albert Costa,m_2002_F_70,22,2nd Round,152,3,French Open,112,TRUE,R,NA,NA,6/25/1975,2002,23
Albert Costa,m_2002_F_99,22,3rd Round,168,3,French Open,120,TRUE,R,NA,NA,6/25/1975,2002,24
Albert Costa,m_2002_U_74,8,2nd Round,206,2,US Open,165,FALSE,R,NA,NA,6/25/1975,2002,25
Albert Costa,m_2002_U_9,8,1st Round,169,3,US Open,128,TRUE,R,NA,NA,6/25/1975,2002,26
Albert Costa,m_2003_A_106,8,3rd Round,198,2,Australian Open,135,FALSE,R,NA,NA,6/25/1975,2003,27
Albert Costa,m_2003_A_68,8,2nd Round,177,3,Australian Open,140,TRUE,R,NA,NA,6/25/1975,2003,28
Albert Costa,m_2003_A_9,8,1st Round,185,3,Australian Open,141,TRUE,R,NA,NA,6/25/1975,2003,29
Albert Costa,m_2003_F_105,9,3rd Round,279,3,French Open,161,TRUE,R,NA,NA,6/25/1975,2003,30
Albert Costa,m_2003_F_117,9,4th Round,187,3,French Open,125,TRUE,R,NA,NA,6/25/1975,2003,31
Albert Costa,m_2003_F_122,9,Quarterfinals,209,3,French Open,148,TRUE,R,NA,NA,6/25/1975,2003,32
Albert Costa,m_2003_F_125,9,Semifinals,164,0,French Open,99,FALSE,R,NA,NA,6/25/1975,2003,33
Albert Costa,m_2003_F_32,9,1st Round,218,3,French Open,172,TRUE,R,NA,NA,6/25/1975,2003,34
Albert Costa,m_2003_F_89,9,2nd Round,218,3,French Open,157,TRUE,R,NA,NA,6/25/1975,2003,35
Albert Costa,m_2003_U_36,24,1st Round,186,3,US Open,125,TRUE,R,NA,NA,6/25/1975,2003,36
Albert Costa,m_2003_U_87,24,2nd Round,151,1,US Open,97,FALSE,R,NA,NA,6/25/1975,2003,37
Albert Costa,m_2004_A_111,27,3rd Round,177,1,Australian Open,121,FALSE,R,NA,NA,6/25/1975,2004,38
Albert Costa,m_2004_A_33,27,1st Round,108,3,Australian Open,88,TRUE,R,NA,NA,6/25/1975,2004,39
Albert Costa,m_2004_A_89,27,2nd Round,258,3,Australian Open,189,TRUE,R,NA,NA,6/25/1975,2004,40
Albert Costa,m_2004_F_111,29,3rd Round,261,2,French Open,171,FALSE,R,NA,NA,6/25/1975,2004,41
Albert Costa,m_2004_F_51,29,1st Round,187,3,French Open,117,TRUE,R,NA,NA,6/25/1975,2004,42
Albert Costa,m_2004_F_80,29,2nd Round,136,3,French Open,107,TRUE,R,NA,NA,6/25/1975,2004,43
Albert Costa,m_2004_L_50,55,1st Round,98,0,Wimbledon,70,FALSE,R,NA,NA,6/25/1975,2004,44
Albert Costa,m_2004_U_5,44,1st Round,120,0,US Open,78,FALSE,R,NA,NA,6/25/1975,2004,45
Albert Costa,m_2005_A_3,46,1st Round,164,0,Australian Open,100,FALSE,R,NA,NA,6/25/1975,2005,46
Albert Costa,m_2005_F_58,72,1st Round,130,0,French Open,87,FALSE,R,NA,NA,6/25/1975,2005,47
Albert Costa,m_2005_U_56,104,1st Round,80,0,US Open,37,FALSE,R,NA,NA,6/25/1975,2005,48
Albert Montanes,m_2001_F_111,124,3rd Round,149,1,French Open,110,FALSE,R,NA,NA,11/26/1980,2001,1
Albert Montanes,m_2001_F_41,124,1st Round,99,3,French Open,91,TRUE,R,NA,NA,11/26/1980,2001,2
Albert Montanes,m_2001_F_85,124,2nd Round,92,3,French Open,88,TRUE,R,NA,NA,11/26/1980,2001,3
Albert Montanes,m_2002_A_13,63,1st Round,232,2,Australian Open,170,FALSE,R,NA,NA,11/26/1980,2002,4
